0.5GB, 131071, 137860743.400000
1.0GB, 262143, 275643590.064000
1.5GB, 393215, 413303868.152000
2.0GB, 524287, 551473541.440000
2.5GB, 655359, 686930365.024000
3.0GB, 786431, 825098195.848000
3.5GB, 917503, 962264898.264000
4.0GB, 1048575, 1096874503.856000
4.5GB, 1179647, 1234628757.240000
5.0GB, 1310719, 1373638211.584000
5.5GB, 1441791, 1510502298.576000
6.0GB, 1572863, 1643002606.592000
6.5GB, 1703935, 1779489382.000000
7.0GB, 1835007, 1915967610.384000
7.5GB, 1966079, 2048921223.368000
8.0GB, 2097151, 2185651540.456000
8.5GB, 2228223, 2330118793.192000
9.0GB, 2359295, 2463263412.520000
9.5GB, 2490367, 2597234963.128000
10.0GB, 2621439, 2743969309.336000
10.5GB, 2752511, 2867593848.376000
11.0GB, 2883583, 3008750816.976000
11.5GB, 3014655, 3140115131.728000
12.0GB, 3145727, 3282068047.872000
12.5GB, 3276799, 3427332387.824000
13.0GB, 3407871, 3557545443.968000
13.5GB, 3538943, 3691109857.848000
14.0GB, 3670015, 3839658860.472000
14.5GB, 3801087, 4058080427.920000
15.0GB, 3932159, 4271925231.200000
15.5GB, 4063231, 4466988165.960000
16.0GB, 4194303, 4670641804.120000
16.5GB, 4325375, 4873741131.688000
